1 Cor 10:13,"No temptation has overtaken you except such as is common to man; but God is faithful, who will not allow you to be tempted beyond what you are able, but with the temptation will also make the way of escape that you may be able to bear it."
1 Cor 1:9,"God is faithful, by whom you were called into the fellowship of His Son, Jesus Christ our Lord."
2 Corinthians 12:9,"And He said to me, ""My grace is sufficient for you, for My strength is made perfect in weakness."""
2 Corinthians 3:17,"Now the Lord is the Spirit; and where the Spirit of the Lord is, there is liberty."
Hebrews 10:23,"Let us hold fast the confession of our hope without wavering, for He who promised is faithful."
Isa 55:7,"Let the wicked forsake his way, and the unrighteous man his thoughts: and let him return unto the LORD, and he will have mercy upon him; and to our God, for he will abundantly pardon."
Isaiah 26:3,"Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee."
Joel 2:32,"And it shall come to pass That whoever calls on the name of the Lord Shall be saved. For in Mount Zion and in Jerusalem there shall be deliverance, As the Lord has said, Among the remnant whom the Lord calls."
John 1:12,"But as many as received Him, to them He gave the right to become children of God, to those who believe in His name:"
John 6:37,"All that the Father gives Me will come to Me, and the one who comes to Me I will by no means cast out."
Malachi 3:7,"""Yet from the days of your fathers You have gone away from My ordinances And have not kept them. Return to Me, and I will return to you,"" Says the Lord of hosts."
Philippians 1:29,"Being confident of this very thing, that He who has begun a good work in you will complete it until the day of Jesus Christ;"
Philippians 2:13,"For it is God who works in you both to will and to do for His good pleasure."
Philippians 4:13,"I can do all things through Christ who strengthens me."
Philippians 4:19,"And my God shall supply all your need according to His riches in glory by Christ Jesus."
Proverbs 19:1,"Better is a poor person who walks in his integrity than one who is crooked in speech and is a fool."
Proverbs 19:2,"Desire without knowledge is not good, and whoever makes haste with his feet misses his way."
Proverbs 19:3,"When a man’s folly brings his way to ruin, his heart rages against the LORD."
Proverbs 19:4,"Wealth brings many new friends, but a poor man is deserted by his friend."
Proverbs 19:5,"A false witness will not go unpunished, and he who breathes out lies will not escape."
Proverbs 19:6,"Many seek the favor of a generous man, and everyone is a friend to a man who gives gifts."
Proverbs 19:7,"All a poor man’s brothers hate him; how much more do his friends go far from him! He pursues them with words, but does not have them."
Proverbs 19:8,"Whoever gets sense loves his own soul; he who keeps understanding will discover good."
Proverbs 19:9,"A false witness will not go unpunished, and he who hbreathes out lies will perish."
Proverbs 19:10,"It is not fitting for a fool to live in luxury, much less for a slave to rule over princes."
Proverbs 19:11,"Good sense makes one slow to anger, and it is his glory to overlook an offense."
Proverbs 19:12,"A king’s wrath is like the growling of a lion, but his favor is like dew on the grass."
Proverbs 19:13,"A foolish son is ruin to his father, and a wife’s quarreling is a continual dripping of rain."
Proverbs 19:14,"House and wealth are inherited from fathers, but a prudent wife is from the LORD."
Proverbs 19:15,"Slothfulness casts into a deep sleep, and an idle person will suffer hunger."
Proverbs 19:16,"Whoever keeps the commandment keeps his life; he who despises his ways will die."
Proverbs 19:17,"Whoever is generous to the poor lends to the LORD, and he will repay him for his deed."
Proverbs 19:18,"Discipline your son, for there is hope; do not set your heart on putting him to death."
Proverbs 19:19,"A man of great wrath will pay the penalty, for if you deliver him, you will only have to do it again."
Proverbs 19:20,"Listen to advice and accept instruction, that you may gain wisdom in the future."
Proverbs 19:21,"Many are the plans in the mind of a man, but it is the purpose of the LORD that will stand."
Proverbs 19:22,"What is desired in a man is steadfast love, and a poor man is better than a liar."
Proverbs 19:23,"The fear of the LORD leads to life, and whoever has it rests satisfied; he will not be visited by harm."
Proverbs 19:24,"The sluggard buries his hand in the dish and will not even bring it back to his mouth."
Proverbs 19:25,"Strike a scoffer, and the simple will learn prudence; reprove a man of understanding, and he will gain knowledge."
Proverbs 19:26,"He who does violence to his father and chases away his mother is a son who brings shame and reproach."
Proverbs 19:27,"Cease to hear instruction, my son, and you will stray from the words of knowledge."
Proverbs 19:28,"A worthless witness mocks at justice, and the mouth of the wicked devours iniquity."
Proverbs 19:29,"Condemnation is ready for scoffers, and beating for the backs of fools."
Proverbs 21:21,"He who follows righteousness and mercy Finds life, righteousness, and honor."
Psalm 55:22,"Cast thy burden upon the Lord, and he shall sustain thee: he shall never suffer the righteous to be moved."
Romans 10:11,"For the Scripture says, ""Whoever believes on Him will not be put to shame."""
Romans 10:13,"For ""whoever calls on the name of the Lord shall be saved."""
Romans 15:13,"Now may the God of hope fill you with all joy and peace in believing, that you may abound in hope by the power of the Holy Spirit."
